value_id,value_type,value_content
val-sha256-30260fc7909b3afd65bf0db71d353488cd471f9ff7f31acdc287b614bc5fb172,author_name,Yingzi Chang
val-sha256-889b0e762d19a97347678daccd40ea1f0b598d9882eb0949ad0639adcb15b322,author_name,Sharon R Stover
val-sha256-1719d1c26c1cd94b9f2c53577863191348ae34df07085ff038bb00e1f6af7959,author_name,Donald B Hoover
val-sha256-0d1dfc470532015ad38607397275c4ef7a004f209092f45d1932fdb2c393f9a2,author_name,Biswa Tosh Datta
val-sha256-33c70d643ffef1e66fd9a776b7e7cf8d7a58996138b1bed3aa9441f1e2278498,author_name,P. Erdős
val-sha256-f2c72a531b29ff40b879ffdc790b4e72ef991f4ce2422256419690778b6b229a,author_name,R.J. Faudree
val-sha256-6a2b0ec3aa11546169dc22f87a932747064fac531a5526a168d1b1a7bcfe81cd,author_name,C.C. Rousseau
val-sha256-90dbfd858f7f93b3a27e4c62134a8d788c9324963f56fd64d7bc896665c65afd,author_name,R.H. Schelp
val-sha256-a17fbadddbe235e454b1c52a516595692bdce7580f970e52db71dae4cec59911,author_name,Ashok K. Chandra
val-sha256-b5068d76382923fe4e0a8af53b6460e8f644da09978a407accdcffacd8aee9c5,author_name,Martin Tompa
val-sha256-9801cb9fe15fcee854f3954bffd873bc395807e534b0ed9d24bb08f6c1de3521,author_name,Phillip B. Gibbons
val-sha256-68d71558c1ff9c0eecbedfc20f8fb29aaf5785d20f2a513ab88d9b911d17d83a,author_name,Richard M. Karp
val-sha256-6e8b1e8235d6186371ff8fd43dc8c1c5c7396f19be13c4dac640d199aedc5b59,author_name,Gary L. Miller
val-sha256-e45c31f5075c08a878d0dd0534e1f09b7477509f597a781bd59b1e6fbc94ccdf,author_name,Danny Soroker
val-sha256-e46a805ca17113a795ac5a363b96c721d279c1bbcdfa1fcd82c16f2ad563ce64,author_name,Randy Shull
val-sha256-2917fa499dd459286de8abf0475ca4342edea05bd97226c4e317edfcf389487e,author_name,Alan Shuchat
val-sha256-610d9f103db63a5d82b6b4ed3ab64372447d9cc212dae3ae78831e8e565e1089,author_name,James B. Orlin
val-sha256-4c28be9755944395d8ece17ee5a344f47cb1558bb9fd581c52f0973a73a5be19,author_name,Marianne Lepp
val-sha256-ad6389a985313e11a496c40f0e9d558c9169b728071273c91ea68aed657a2113,author_name,S.S. Thabit
val-sha256-a3fba9fed8b425cad3d2c0f8be3615ea11fa78800b9e91bdd5c5a9f37910bdb3,author_name,Jacob A. Frenkel
