doi,author_name,affiliation,ror_id
10.1093/annonc/mdf188,K. Delasalle,The University of Texas M. D. Anderson Cancer Center Houston TX USA,https://ror.org/04twxam07
10.1016/s0097-8493(02)00093-6,Clifford A. Reiter,"Department of Mathematics, Lafayette College, Easton, PA 18042-1781 USA#TAB#",https://ror.org/036n0x007
10.1016/s0166-218x(01)00283-9,John Gimbel,"Mathematical Sciences, University of Alaska, Fairbanks, Alaska#TAB#",https://ror.org/01j7nq853
10.1108/01443579610119117,J. Brian Atwater,"(College of Business & Administration, University of Colorado, Colorado Springs, Colorado, USA)",https://ror.org/054spjc55
10.1110/ps.23101,Steven Hayward,"Royal Society-Wolfson Bioinformatics Laboratory, School of Information Systems, University of East Anglia, Norwich NR4 7TJ, UK.",https://ror.org/026k5mg93
10.1017/s0376892902270071,Ruth Defries,"Department of Geography and Earth System Science Interdisciplinary Center, University of Maryland, College Park, MD 20742, USA",https://ror.org/042607708
10.1017/s0960428602000070,W. TAKEUCHI,"PNG Forest Research Institute, PO Box 314, Lae, Morobe Province 411, Papua New Guinea",https://ror.org/00tqkxb21
10.1149/1.1393488,H. Ishitani,"Department of Geosystems Engineering, Graduate School of Engineering, The University of Tokyo, Japan",https://ror.org/057zh3y96
10.1108/09534819510100536,Toni C. King,"State University of New York at Binghamton, New York, USA",https://ror.org/008rmbt77
10.1172/jci200215336,Alan M. Krensky,"Department of Pediatrics, Stanford University School of Medicine, Stanford, California, USA",https://ror.org/00f54p054
10.1115/1.1502637,V. Prasad,"State University of New York at Stony Brook, Stony Brook, NY 11794.",https://ror.org/05qghxh33
10.1149/1.1390728,Karen J. Nordheden,"Plasma Research Laboratory, Department of Electrical Engineering and Computer Science, University of Kansas, Lawrence, Kansas 66045, United States of America",https://ror.org/001tmjg57
10.1103/physreve.65.066505,S. Y. Lee,"Indiana University, Bloomington, Indiana 47408.",https://ror.org/02k40bc56
10.1145/507382.507384,Martin Grohe,University of Edinburgh (Old College South Bridge Edinburgh EH8 9YL - Royaume-Uni),https://ror.org/01nrxwf90
10.1149/1.1390788,Tetsuya Osaka,"#N#aDepartment of Applied Chemistry, School of Science and Engineering, Kagami Memorial Laboratory for Materials Science and Technology, Waseda University, Shinjuku‐ku, Tokyo 169-8555, Japan",https://ror.org/00ntfnx83
10.1016/s0168-583x(01)01299-x,Y. Takeda,"Department of Chemistry, Faculty of Engineering, Mie University, Tsu Japan",https://ror.org/01529vy56
10.1149/1.1390938,R. E. Stauber,"University of Colorado, Boulder, Colorado 80309, United States of America",https://ror.org/02ttsq026
10.1034/j.1600-0536.2002.460501.x,Jochen Brasch,"Department of Dermatology, University of Kiel, Germany.",https://ror.org/04v76ef78
