record_id,doi
rec-sha256-1436a846b68f1ac1d19a02d8c8553c901c2a8cbdd3db82cc1bfc3e29afe5fdab,10.1006/jmcc.2000.1342
rec-sha256-d6f90cfba89826f5978e081ead6d68032841f1c69e176130d802df25665db57b,10.1016/0012-365x(81)90170-9
rec-sha256-ca6720225c71dd4d3482065449383e7081c237f2cbc3a36ac0e442c228878a2e,10.1016/0012-365x(92)00461-y
rec-sha256-260202248132100a64553c13fb80daf161bd2c914459ba299807735d9f174f32,10.1016/0012-365x(92)00474-6
rec-sha256-a18c8f464fb2fd6199c25a0b0b05dec2561ce693ae9277ffa57bc1812bddd85e,10.1016/0166-218x(90)90080-v
rec-sha256-952602cf99b5043d7c11c3094df1ff9afe813ca5cab0d65bce0b0d6691942ade,10.1016/0166-218x(90)90081-m
rec-sha256-2e837212e7d1873fdc4a6767f4dc29388e6f07cea3503277fbc3b52b7e2069ec,10.1016/0166-218x(93)90243-h
rec-sha256-1a158f0e19933fc939002e8072f8409e1bd2fed0b631ba75f893403311228787,10.1016/0167-188x(84)90047-8
rec-sha256-51a9f2871923defa846c2dbcf0f712d50ee72b1126ed8c2100b3dab4886e4613,10.1016/0167-2231(78)90009-x
rec-sha256-c67f8119ba2009ab181fd0f998821fe4122de5c3d62fba4018ae8170c9c7a577,10.1016/0167-2231(78)90013-1
rec-sha256-21f155509bbf02f2bf3c986a2ab385229a2240fafb038de2ad282dc28ce33378,10.1016/0167-2231(78)90015-5
rec-sha256-cbb018082423f413a200fbd877028cc1529427145c86cf35a1cf786a1ce4351d,10.1016/0167-4838(94)00178-j
rec-sha256-626042a4364c69c4860838ebd78b133d4e462e0c1966dcbb2b6255606badcdf0,10.1016/0167-4838(94)00188-m
rec-sha256-09a89c0d40e47e5371d89a87c41ebcd75a6ccdbbfb805e48c40ff9784507b6fc,10.1016/0167-4838(94)00196-n
rec-sha256-7860770259daa4bfda51df19c1e8b1f4f730d2f3bce6502bc5ddd4dbd3174191,10.1016/0167-4838(94)00199-q
rec-sha256-261bafe80e1f797bad12c755b43162b0b152e289d8323d7c7ee178e115099f7a,10.1016/0167-4838(94)00232-6
rec-sha256-0251fd7f133d8604c794c78f6cd8b8ee0d4fd930331c31f3a73724ee0df40da7,10.1016/0167-4838(94)00236-a
rec-sha256-a4ebdb3e95ff672288d66013e7af043134f451a5b01f7042944a595b5d3f40b5,10.1016/0167-4838(94)00237-b
rec-sha256-f0e50d3452ff3c0274ee742066eb42480f1910d2958e34cf9a8b4ff10ce9d4f8,10.1016/0167-4838(95)00005-f
rec-sha256-d23c1d946c2e730e8eee676f76f63980f1cb469585f961fb620654892cf5858a,10.1016/0167-4838(95)00033-q
rec-sha256-c39e8881ca58ffd9344cdf2c107ec9ad89e17dff67e905c18ea753d7ed955c07,10.1016/0167-4838(95)00039-w
rec-sha256-564611019d4acc57de862af727fd24747af45bafad25ba2e19be3087480c8223,10.1016/0167-4838(95)00063-z
rec-sha256-b1278d6d4518d455544bf765fee0a0a8023fbfbc750ce367f09d8c61a6105572,10.1016/0167-4838(95)00132-e
rec-sha256-3338fae40fb5c754f80e9be6f8c1621f6515c763de517903adea094de0e9ace0,10.1016/0167-4838(95)00137-j
rec-sha256-56d7e95ca07ebc91cae0c46bb1162951dd9c1fb1954fea7d2395176bba0f003a,10.1016/0167-4838(95)00148-n
rec-sha256-c51e583679e17c9ecd11ad6ec7cdfb41f5d1e9a62b0e40b10cabf7de6ed6d338,10.1016/0167-4838(95)00181-6
rec-sha256-b218d7558769223663a26d35a73761f7b4056d6d8d893141707bfb538896c61d,10.1016/0167-9473(87)90039-9
rec-sha256-ff34093107157258efcdc63adb06dfbb884503b0dfc6cbdd0fb2645bd25bc6c9,10.1016/0167-9473(91)90049-8
rec-sha256-fa6b377e63c8f28b11cff255067c56ad0aa0f28d9b4128f816e2db04f18b6188,10.1016/0167-9473(91)90056-8
rec-sha256-efacc79cd246150f9a8a363f9480f6862624601f8e865fae41ea1f61c95960ef,10.1016/0167-9473(91)90063-8
